type,lots,original_position_size,symbol,opening_price,closing_price,stop_loss,take_profit,commission_usd,profit_usd,close_reason,opening_time_bd,closing_time_bd
buy,0.01,0.01,XAUUSD,5009.002,5000.986,,,-0.11,-8.01,user,2026-02-04 20:55:51.532000+06:00,2026-02-04 20:56:15.127000+06:00
buy,0.01,0.01,XAUUSD,4992.582,4979.709,,,-0.11,-12.87,user,2026-02-04 21:00:26.625000+06:00,2026-02-04 21:00:47.976000+06:00
buy,0.01,0.01,XAUUSD,4978.791,4984.098,4958.312,,-0.11,5.31,user,2026-02-04 21:02:03.339000+06:00,2026-02-04 21:02:34.071000+06:00
buy,0.01,0.01,XAUUSD,4927.208,4928.222,4905.858,4942.352,-0.11,1.01,user,2026-02-04 21:41:40.859000+06:00,2026-02-04 21:42:13.678000+06:00
sell,0.01,0.01,XAUUSD,4924.152,4922.78,4947.597,,-0.11,1.37,user,2026-02-04 21:57:05.848000+06:00,2026-02-04 21:57:19.557000+06:00
buy,0.01,0.01,XAUUSD,4924.176,4927.512,4909.163,4944.526,-0.11,3.33,user,2026-02-04 22:06:21.139000+06:00,2026-02-04 22:11:50.609000+06:00
sell,0.01,0.01,XAUUSD,4922.615,4919.027,4933.622,,-0.11,3.59,user,2026-02-04 22:16:18.490000+06:00,2026-02-04 22:17:02.583000+06:00
sell,0.01,0.01,XAUUSD,4922.042,4924.683,4930.848,4911.498,-0.11,-2.64,user,2026-02-04 22:18:35.113000+06:00,2026-02-04 22:19:04.704000+06:00
sell,0.01,0.01,XAUUSD,4909.501,4909.464,4925.444,4895.198,-0.11,0.04,user,2026-02-04 22:39:03.074000+06:00,2026-02-04 22:39:05.941000+06:00
sell,0.01,0.01,XAUUSD,4917.373,4909.222000000001,4928.777,4897.124,-0.11,8.15,user,2026-02-04 22:39:42.234000+06:00,2026-02-04 22:40:14.077000+06:00
sell,0.01,0.01,XAUUSD,4897.243,4884.053000000001,4906.014,,-0.11,13.19,user,2026-02-04 22:45:54.273000+06:00,2026-02-04 22:47:07.105000+06:00
sell,0.01,0.01,XAUUSD,4866.282,4878.013,4878.013,4831.507,-0.11,-11.73,sl,2026-02-05 16:21:57.754000+06:00,2026-02-05 16:43:37.920000+06:00
sell,0.06,0.07,BTCUSD,65451.89,65513.07,65908.07,,,-3.67,user,2026-02-06 00:28:21.248000+06:00,2026-02-06 00:28:52.234000+06:00
sell,0.01,0.07,BTCUSD,65451.89,65417.14,65908.07,,-1.12,0.35,user,2026-02-06 00:28:21.248000+06:00,2026-02-06 00:34:29.540000+06:00
sell,0.05,0.07,BTCUSD,65409.61,65597.72,,,,-9.41,user,2026-02-06 00:33:09.720000+06:00,2026-02-06 00:35:31.025000+06:00
sell,0.02,0.07,BTCUSD,65409.61,65617.63,,,-1.12,-4.16,user,2026-02-06 00:33:09.720000+06:00,2026-02-06 00:35:46.269000+06:00
sell,0.07,0.07,BTCUSD,65437.36,65713.88,65702.13,,-1.12,-19.35,sl,2026-02-06 00:38:48.030000+06:00,2026-02-06 00:40:24.419000+06:00
buy,0.07,0.07,BTCUSD,65750.17,65564.96,65575.26,65960.4,-1.12,-12.96,sl,2026-02-06 00:41:47.975000+06:00,2026-02-06 00:44:08.136000+06:00
buy,0.13,0.13,BTCUSD,65667.29,65720.16,,,-2.08,6.87,user,2026-02-06 00:45:46.318000+06:00,2026-02-06 00:46:22.515000+06:00
sell,0.13,0.13,BTCUSD,65463.88,65439.35,,,-2.08,3.18,user,2026-02-06 00:46:55.938000+06:00,2026-02-06 00:47:04.719000+06:00
sell,0.01,0.01,BTCUSD,65321.69,65340.47,,,-0.16,-0.18,user,2026-02-06 00:48:04.231000+06:00,2026-02-06 00:48:55.887000+06:00
sell,0.01,0.02,XAUUSD,4753.402,4733.845,4751.936,,,19.55,user,2026-02-06 05:29:31.598000+06:00,2026-02-06 05:38:37.472000+06:00
sell,0.01,0.02,XAUUSD,4753.402,4751.936,4751.936,,-0.22,1.46,sl,2026-02-06 05:29:31.598000+06:00,2026-02-06 05:42:38.635000+06:00
sell,0.03,0.04,XAUUSD,4698.841,4690.487,,,,25.06,user,2026-02-06 06:02:40.162000+06:00,2026-02-06 06:03:43.650000+06:00
sell,0.01,0.04,XAUUSD,4698.841,4689.793,,,-0.44,9.05,user,2026-02-06 06:02:40.162000+06:00,2026-02-06 06:05:29.778000+06:00
sell,0.01,0.01,XAUUSD,4688.672,4691.993,4721.186,,-0.11,-3.32,user,2026-02-06 06:06:36.575000+06:00,2026-02-06 06:08:10.504000+06:00
sell,0.01,0.01,XAGUSD,64.736,64.45,65.404,,-1.0,14.3,user,2026-02-06 06:14:55.896000+06:00,2026-02-06 06:16:12.964000+06:00
sell,0.01,0.01,XAUUSD,4737.519,4749.189,4761.129,,-0.11,-11.67,user,2026-02-06 07:10:09.480000+06:00,2026-02-06 07:11:54.395000+06:00
sell,0.01,0.01,XAUUSD,4748.575,4732.450000000001,4765.373,,-0.11,16.13,user,2026-02-06 07:14:56.237000+06:00,2026-02-06 07:17:29.325000+06:00
buy,0.01,0.01,XAUUSD,4836.186,4844.72,4827.741,4875.838,-0.11,8.53,user,2026-02-06 11:24:35.671000+06:00,2026-02-06 11:26:53.356000+06:00
buy,0.01,0.01,XAUUSD,4939.285,4939.3460000000005,4927.306,4959.438,-0.11,0.06,user,2026-02-06 20:49:42.287000+06:00,2026-02-06 20:54:53.771000+06:00
sell,0.01,0.01,XAUUSD,4944.71,4948.588,4948.588,4933.34,-0.11,-3.88,sl,2026-02-06 22:53:03.875000+06:00,2026-02-06 22:56:29.360000+06:00
buy,0.01,0.01,XAUUSD,4958.95,4958.767,4953.954,4968.024,-0.11,-0.18,user,2026-02-07 01:15:05.024000+06:00,2026-02-07 01:25:20.283000+06:00
buy,0.01,0.01,XAUUSD,4961.116,4954.084,,,-0.11,-7.04,user,2026-02-07 01:27:06.492000+06:00,2026-02-07 01:36:52.874000+06:00
buy,0.01,0.01,XAUUSD,4952.533,4959.325,4952.811,,-0.11,6.8,user,2026-02-07 01:44:00.773000+06:00,2026-02-07 01:56:30.030000+06:00
