ticket,opening_time_utc,closing_time_utc,type,lots,original_position_size,symbol,opening_price,closing_price,stop_loss,take_profit,commission_usd,swap_usd,profit_usd,equity_usd,margin_level,close_reason
1986057898,2026-02-03T19:36:39.110000,2026-02-03T19:40:40.361000,buy,0.01,0.01,XAUUSD,4935.922,4940.854,,,-0.11,0,4.93,,,user
1986026562,2026-02-03T19:14:17.738000,2026-02-03T19:17:24.117000,buy,0.01,0.01,XAUUSD,4916.794,4918.35,,,-0.11,0,1.56,,,user
1985982983,2026-02-03T18:48:53.292000,2026-02-03T18:52:40.437000,sell,0.01,0.01,XAUUSD,4901.362,4896.715,4916.103,4845.575,-0.11,0,4.64,,,user
1985979268,2026-02-03T18:46:23.569000,2026-02-03T18:46:52.837000,buy,0.01,0.01,XAUUSD,4912.164,4913.753,4904.734,4971.716,-0.11,0,1.59,,,user
1985974906,2026-02-03T18:43:24.909000,2026-02-03T18:44:30.834000,buy,0.01,0.01,XAUUSD,4905.936,4907.304,4887.67,4964.957,-0.11,0,1.36,,,user
1985966023,2026-02-03T18:37:14.065000,2026-02-03T18:42:16.144000,sell,0.01,0.01,XAUUSD,4904.214,4912.242,4920.903,4846.362,-0.11,0,-8.03,,,user
1985941303,2026-02-03T18:26:08.398000,2026-02-03T18:29:09.002000,buy,0.01,0.01,XAUUSD,4926.883,4916.325,4917.388,4938.998,-0.11,0,-10.55,,,sl
1985936263,2026-02-03T18:22:28.485000,2026-02-03T18:23:53.282000,buy,0.01,0.01,BTCUSD,74609.59,74278.48,74300.98,,-0.16,0,-3.32,,,sl
1985923514,2026-02-03T18:14:58.791000,2026-02-03T18:15:26.474000,buy,0.01,0.01,XAUUSD,4943.632,4943.87,4938.378,5123.528,-0.11,0,0.24,,,user
1985913860,2026-02-03T18:08:54.712000,2026-02-03T18:10:45.815000,buy,0.01,0.01,XAUUSD,4941.49,4946.664,4935.997,5121.15,-0.11,0,5.17,,,user
1985909491,2026-02-03T18:06:56.428000,2026-02-03T18:08:08.562000,buy,0.01,0.01,XAUUSD,4942.913,4943.266,4943.266,5120.433,-0.11,0,0.36,,,sl
1985877663,2026-02-03T17:50:07.043000,2026-02-03T17:50:29.063000,buy,0.01,0.01,XAUUSD,4932.992,4939.125,4920.879,5109.839,-0.11,0,6.14,,,user
1985870248,2026-02-03T17:47:20.056000,2026-02-03T17:47:58.522000,sell,0.01,0.01,XAUUSD,4913.95,4925.195000000001,4924.559,4735.594,-0.11,0,-11.25,,,sl
1985850065,2026-02-03T17:40:36.354000,2026-02-03T17:46:23.226000,sell,0.01,0.01,BTCUSD,75334.15,75051.79000000001,75812.02,,-0.16,0,2.82,,,user
1985829651,2026-02-03T17:30:17.125000,2026-02-03T17:30:38.547000,buy,0.01,0.01,XAUUSD,4950.345,4951.77,,5125.851,-0.11,0,1.42,,,user
1985819642,2026-02-03T17:25:35.952000,2026-02-03T17:25:48.498000,buy,0.01,0.01,XAUUSD,4957.343,4958.175,,5132.961,-0.11,0,0.84,,,user
1985782264,2026-02-03T17:12:24.320000,2026-02-03T17:19:28.558000,buy,0.01,0.01,XAUUSD,4937.849,4963.076,,5114.133,-0.11,0,25.23,,,user
1985787257,2026-02-03T17:13:41.507000,2026-02-03T17:13:50.727000,buy,0.04,0.04,XAUUSD,4941.059,4946.258,,5118.177,-0.44,0,20.79,,,user
1985775218,2026-02-03T17:11:11.475000,2026-02-03T17:11:56.773000,sell,0.01,0.01,XAUUSD,4933.929,4927.488,,4920.95,-0.11,0,6.44,,,user
1985720442,2026-02-03T16:52:03.773000,2026-02-03T17:09:19.696000,buy,0.01,0.01,XAUUSD,4965.817,4941.387,,,-0.11,0,-24.43,,,user
1985738617,2026-02-03T16:58:39.928000,2026-02-03T17:08:55.786000,buy,0.01,0.01,XAUUSD,4958.231,4940.656,,,-0.11,0,-17.57,,,user
1985764039,2026-02-03T17:08:10.438000,2026-02-03T17:08:54.585000,buy,0.01,0.01,XAUUSD,4947.686,4940.371,,5125.71,-0.11,0,-7.32,,,user
1985745083,2026-02-03T17:00:31.415000,2026-02-03T17:01:19.888000,buy,0.01,0.01,XAUUSD,4949.125,4955.983,,5125.401,-0.11,0,6.85,,,user
1985739976,2026-02-03T16:59:04.909000,2026-02-03T16:59:18.151000,buy,0.01,0.01,XAUUSD,4953.572,4957.646,,5126.497,-0.11,0,4.08,,,user
1985713199,2026-02-03T16:49:50.256000,2026-02-03T16:51:08.468000,buy,0.01,0.01,XAUUSD,4977.145,4962.406,,5147.004,-0.11,0,-14.74,,,user
1985715829,2026-02-03T16:50:49.351000,2026-02-03T16:51:06.165000,buy,0.01,0.01,XAUUSD,4968.837,4962.3640000000005,,5139.591,-0.11,0,-6.48,,,user
1985697605,2026-02-03T16:43:17.384000,2026-02-03T16:45:16.534000,buy,0.01,0.01,XAUUSD,4982.88,4979.5560000000005,,5149.586,-0.11,0,-3.32,,,user
1985623436,2026-02-03T16:16:24.998000,2026-02-03T16:39:36.888000,buy,0.01,0.01,XAUUSD,4960.575,4992.924,4959.423,5051.627,-0.11,0,32.34,,,user
1985671642,2026-02-03T16:33:39.173000,2026-02-03T16:33:47.249000,buy,0.01,0.01,XAUUSD,4970.842,4973.509,,5137.535,-0.11,0,2.67,,,user
1985636306,2026-02-03T16:20:08.222000,2026-02-03T16:21:01.760000,buy,0.04,0.04,XAUUSD,4967.88,4971.384,,5092.66,-0.44,0,14.02,,,user
1985624272,2026-02-03T16:16:31.353000,2026-02-03T16:17:13.211000,buy,0.01,0.01,XAUUSD,4964.399,4967.356,,5214.837,-0.11,0,2.96,,,user
1985423506,2026-02-03T15:00:39.600000,2026-02-03T15:59:03.816000,buy,0.01,0.01,XAUUSD,4919.531,4931.984,4876.16,,-0.11,0,12.45,,,user
1985415560,2026-02-03T14:57:51.050000,2026-02-03T14:58:32.766000,sell,0.01,0.01,XAUUSD,4916.666,4918.905,4924.05,,-0.11,0,-2.24,,,user
1985412109,2026-02-03T14:56:54.608000,2026-02-03T14:57:38.983000,buy,0.01,0.01,XAUUSD,4925.278,4919.081,4919.081,,-0.11,0,-6.2,,,sl
1985400207,2026-02-03T14:52:15.723000,2026-02-03T14:53:15.078000,sell,0.01,0.01,XAUUSD,4921.941,4927.188,4926.767,4911.898,-0.11,0,-5.25,,,sl
1985385610,2026-02-03T14:46:22.328000,2026-02-03T14:47:27.211000,sell,0.02,0.02,XAUUSD,4914.655,4917.143,4920.172,4906.787,-0.22,0,-4.98,,,user
1985379931,2026-02-03T14:44:16.338000,2026-02-03T14:45:22.617000,sell,0.02,0.02,XAUUSD,4917.878,4917.621,4921.212,,-0.22,0,0.52,,,user
1985378511,2026-02-03T14:43:49.575000,2026-02-03T14:43:58.594000,sell,0.02,0.02,XAUUSD,4914.579,4920.219,4919.298,,-0.22,0,-11.28,,,sl
1985372486,2026-02-03T14:42:07.729000,2026-02-03T14:43:11.990000,sell,0.01,0.01,XAUUSD,4921.321,4917.446,4926.579,,-0.11,0,3.87,,,user
1985360790,2026-02-03T14:39:12.306000,2026-02-03T14:39:41.548000,buy,0.01,0.01,XAUUSD,4911.643,4916.319,4897.704,,-0.11,0,4.68,,,user
1985350142,2026-02-03T14:36:29.705000,2026-02-03T14:38:28.435000,buy,0.02,0.02,XAUUSD,4907.916,4898.303,4895.32,4923.136,-0.22,0,-19.22,,,user
1985346668,2026-02-03T14:35:41.143000,2026-02-03T14:36:07.479000,buy,0.02,0.02,XAUUSD,4906.505,4899.294,4899.294,4924.725,-0.22,0,-14.42,,,sl
1985329010,2026-02-03T14:32:14.917000,2026-02-03T14:32:23.358000,buy,0.02,0.02,XAUUSD,4918.771,4916.12,4908.88,,-0.22,0,-5.3,,,user
1985302347,2026-02-03T14:24:58.164000,2026-02-03T14:29:52.038000,sell,0.01,0.01,XAUUSD,4910.349,4924.677000000001,4924.329,,-0.11,0,-14.33,,,sl
1985287990,2026-02-03T14:20:28.997000,2026-02-03T14:29:51.961000,sell,0.01,0.01,XAUUSD,4911.835,4924.421,4924.421,4884.75,-0.11,0,-12.58,,,sl
1985225089,2026-02-03T14:00:45.153000,2026-02-03T14:15:21.094000,sell,0.01,0.01,XAUUSD,4918.305,4921.021000000001,4941.243,4903.726,-0.11,0,-2.71,,,user
1985249642,2026-02-03T14:08:49.569000,2026-02-03T14:10:55.476000,sell,0.01,0.01,XAUUSD,4925.982,4923.579000000001,4930.484,4921.706,-0.11,0,2.4,,,user
1985201745,2026-02-03T13:53:37.458000,2026-02-03T13:59:40.961000,sell,0.01,0.01,XAUUSD,4927.22,4934.589,4950.798,4874.187,-0.11,0,-7.37,,,user
1985083538,2026-02-03T13:09:09.855000,2026-02-03T13:28:18.568000,sell,0.01,0.01,XAUUSD,4923.845,4933.113,4935.481,4918.562,-0.11,0,-9.26,,,user
1985076306,2026-02-03T13:06:08.667000,2026-02-03T13:06:36.049000,sell,0.01,0.01,XAUUSD,4925.26,4929.271000000001,4931.828,4906.268,-0.11,0,-4.01,,,user
1985019271,2026-02-03T12:34:40.073000,2026-02-03T12:43:20.543000,buy,0.01,0.01,XAUUSD,4915.455,4914.7570000000005,4906.739,4926.529,-0.11,0,-0.7,,,user
1984846741,2026-02-03T11:15:04.420000,2026-02-03T11:15:30.181000,buy,0.01,0.01,XAUUSD,4907.562,4908.682,4897.771,4927.922,-0.11,0,1.12,,,user
1984839232,2026-02-03T11:09:36.226000,2026-02-03T11:10:54.943000,buy,0.01,0.01,XAGUSD,86.617,86.845,86.498,,-1,0,11.4,,,user
1984837077,2026-02-03T11:07:46.654000,2026-02-03T11:08:44.367000,buy,0.01,0.01,XAGUSD,86.744,86.44500000000001,86.465,,-1,0,-14.95,,,sl
1984827468,2026-02-03T11:04:06.727000,2026-02-03T11:05:22.541000,buy,0.01,0.01,XAUUSD,4898.185,4904.746,4890.277,,-0.11,0,6.56,,,user
1984807000,2026-02-03T10:56:43.165000,2026-02-03T10:57:02.282000,buy,0.01,0.01,XAUUSD,4915.463,4907.759,,,-0.11,0,-7.7,,,user
1984690992,2026-02-03T09:45:47.028000,2026-02-03T10:56:59.590000,buy,0.01,0.01,XAUUSD,4925.107,4910.153,4911.236,,-0.11,0,-14.96,,,sl
