type,lots,original_position_size,symbol,opening_price,closing_price,stop_loss,take_profit,commission_usd,profit_usd,close_reason,opening_time_bd,closing_time_bd
buy,0.01,0.01,XAUUSD,4714.268,4720.965,,,-0.11,6.7,user,2026-02-03 05:08:20.417000+06:00,2026-02-03 05:08:42.943000+06:00
buy,0.01,0.01,XAUUSD,4704.992,4748.002,4707.534,4796.239,-0.11,43.01,user,2026-02-03 05:07:41.207000+06:00,2026-02-03 05:23:49.162000+06:00
buy,0.01,0.01,XAUUSD,4777.336,4776.51,4777.652,,-0.11,-0.83,sl,2026-02-03 06:00:09.260000+06:00,2026-02-03 06:01:12.511000+06:00
buy,0.01,0.01,XAUUSD,4785.181,4793.62,4772.352,,-0.11,8.44,user,2026-02-03 06:03:05.066000+06:00,2026-02-03 06:04:25.384000+06:00
buy,0.01,0.01,XAUUSD,4786.736,4778.9130000000005,4779.618,,-0.11,-7.83,sl,2026-02-03 06:05:26.336000+06:00,2026-02-03 06:06:06.456000+06:00
buy,0.01,0.01,XAUUSD,4782.762,4778.6720000000005,4779.305,,-0.11,-4.09,sl,2026-02-03 06:08:04.131000+06:00,2026-02-03 06:09:01.058000+06:00
buy,0.01,0.01,XAUUSD,4780.736,4791.537,4768.777,4805.842,-0.11,10.8,user,2026-02-03 09:31:12.600000+06:00,2026-02-03 09:37:20.009000+06:00
buy,0.01,0.01,XAUUSD,4882.877,4884.789,,,-0.11,1.91,user,2026-02-03 13:07:26.356000+06:00,2026-02-03 13:09:46.578000+06:00
buy,0.01,0.01,XAUUSD,4883.99,4891.495,4882.608,,-0.11,7.51,user,2026-02-03 13:19:22.021000+06:00,2026-02-03 13:23:54.508000+06:00
sell,0.01,0.01,XAUUSD,4914.71,4915.3330000000005,4920.794,4906.508,-0.11,-0.62,user,2026-02-03 13:53:04.704000+06:00,2026-02-03 13:53:52.236000+06:00
sell,0.01,0.01,XAUUSD,4917.239,4921.863,4921.863,4901.596,-0.11,-4.62,sl,2026-02-03 13:57:28.750000+06:00,2026-02-03 13:58:36.551000+06:00
sell,0.01,0.01,XAUUSD,4910.327,4901.085,4912.232,4893.487,-0.11,9.24,user,2026-02-03 14:00:55.789000+06:00,2026-02-03 14:06:24.029000+06:00
sell,0.01,0.01,XAUUSD,4931.85,4935.741,4935.741,4921.481,-0.11,-3.89,sl,2026-02-03 14:31:38.925000+06:00,2026-02-03 14:33:18.444000+06:00
sell,0.01,0.01,XAUUSD,4931.417,4939.724,4938.979,4920.803,-0.11,-8.3,sl,2026-02-03 14:34:13.164000+06:00,2026-02-03 14:36:05.627000+06:00
buy,0.01,0.01,XAUUSD,4942.679,4939.218,4939.218,4953.477,-0.11,-3.46,sl,2026-02-03 14:41:19.820000+06:00,2026-02-03 14:41:40.497000+06:00
buy,0.01,0.01,XAUUSD,4945.828,4938.703,4939.29,4953.909,-0.11,-7.13,sl,2026-02-03 14:42:44.153000+06:00,2026-02-03 14:43:41.552000+06:00
buy,0.01,0.01,XAUUSD,4935.248,4932.9,4932.9,4939.49,-0.11,-2.35,sl,2026-02-03 14:46:22.301000+06:00,2026-02-03 14:46:39.490000+06:00
buy,0.01,0.01,XAUUSD,4915.313,4918.187,4908.18,4928.603,-0.11,2.88,user,2026-02-03 15:05:18.717000+06:00,2026-02-03 15:06:02.522000+06:00
buy,0.01,0.01,XAUUSD,4913.717,4916.012,4907.738,4925.62,-0.11,2.29,user,2026-02-03 15:11:40.764000+06:00,2026-02-03 15:15:06.451000+06:00
sell,0.01,0.01,XAUUSD,4913.308,4901.63,4917.591,4902.191,-0.11,11.68,tp,2026-02-03 15:16:13.879000+06:00,2026-02-03 15:16:35.169000+06:00
sell,0.01,0.01,XAUUSD,4896.001,4902.5960000000005,4902.689,4881.998,-0.11,-6.6,user,2026-02-03 15:34:17.678000+06:00,2026-02-03 15:35:30.795000+06:00
buy,0.01,0.01,XAUUSD,4915.026,4917.962,,,-0.11,2.93,user,2026-02-03 16:07:15.314000+06:00,2026-02-03 16:07:35.751000+06:00
buy,0.01,0.01,XAUUSD,4915.129,4916.438,,,-0.11,1.31,user,2026-02-03 16:08:06.204000+06:00,2026-02-03 16:09:13.202000+06:00
buy,0.01,0.01,XAUUSD,4919.123,4923.731,4911.29,,-0.11,4.61,user,2026-02-03 15:56:18.613000+06:00,2026-02-03 16:10:06.502000+06:00
buy,0.01,0.01,XAUUSD,4915.239,4916.251,4913.085,4919.501,-0.11,1.01,user,2026-02-03 16:53:50.765000+06:00,2026-02-03 16:54:35.488000+06:00
buy,0.01,0.01,XAUUSD,4916.379,4917.4980000000005,,,-0.11,1.12,user,2026-02-03 16:55:25.821000+06:00,2026-02-03 16:55:41.409000+06:00
buy,0.01,0.01,XAUUSD,4925.107,4910.153,4911.236,,-0.11,-14.96,sl,2026-02-03 15:45:47.028000+06:00,2026-02-03 16:56:59.590000+06:00
buy,0.01,0.01,XAUUSD,4915.463,4907.759,,,-0.11,-7.7,user,2026-02-03 16:56:43.165000+06:00,2026-02-03 16:57:02.282000+06:00
buy,0.01,0.01,XAUUSD,4898.185,4904.746,4890.277,,-0.11,6.56,user,2026-02-03 17:04:06.727000+06:00,2026-02-03 17:05:22.541000+06:00
buy,0.01,0.01,XAGUSD,86.744,86.44500000000001,86.465,,-1.0,-14.95,sl,2026-02-03 17:07:46.654000+06:00,2026-02-03 17:08:44.367000+06:00
buy,0.01,0.01,XAGUSD,86.617,86.845,86.498,,-1.0,11.4,user,2026-02-03 17:09:36.226000+06:00,2026-02-03 17:10:54.943000+06:00
buy,0.01,0.01,XAUUSD,4907.562,4908.682,4897.771,4927.922,-0.11,1.12,user,2026-02-03 17:15:04.420000+06:00,2026-02-03 17:15:30.181000+06:00
buy,0.01,0.01,XAUUSD,4915.455,4914.7570000000005,4906.739,4926.529,-0.11,-0.7,user,2026-02-03 18:34:40.073000+06:00,2026-02-03 18:43:20.543000+06:00
sell,0.01,0.01,XAUUSD,4925.26,4929.271000000001,4931.828,4906.268,-0.11,-4.01,user,2026-02-03 19:06:08.667000+06:00,2026-02-03 19:06:36.049000+06:00
sell,0.01,0.01,XAUUSD,4923.845,4933.113,4935.481,4918.562,-0.11,-9.26,user,2026-02-03 19:09:09.855000+06:00,2026-02-03 19:28:18.568000+06:00
sell,0.01,0.01,XAUUSD,4927.22,4934.589,4950.798,4874.187,-0.11,-7.37,user,2026-02-03 19:53:37.458000+06:00,2026-02-03 19:59:40.961000+06:00
sell,0.01,0.01,XAUUSD,4925.982,4923.579000000001,4930.484,4921.706,-0.11,2.4,user,2026-02-03 20:08:49.569000+06:00,2026-02-03 20:10:55.476000+06:00
sell,0.01,0.01,XAUUSD,4918.305,4921.021000000001,4941.243,4903.726,-0.11,-2.71,user,2026-02-03 20:00:45.153000+06:00,2026-02-03 20:15:21.094000+06:00
sell,0.01,0.01,XAUUSD,4911.835,4924.421,4924.421,4884.75,-0.11,-12.58,sl,2026-02-03 20:20:28.997000+06:00,2026-02-03 20:29:51.961000+06:00
sell,0.01,0.01,XAUUSD,4910.349,4924.677000000001,4924.329,,-0.11,-14.33,sl,2026-02-03 20:24:58.164000+06:00,2026-02-03 20:29:52.038000+06:00
buy,0.02,0.02,XAUUSD,4918.771,4916.12,4908.88,,-0.22,-5.3,user,2026-02-03 20:32:14.917000+06:00,2026-02-03 20:32:23.358000+06:00
buy,0.02,0.02,XAUUSD,4906.505,4899.294,4899.294,4924.725,-0.22,-14.42,sl,2026-02-03 20:35:41.143000+06:00,2026-02-03 20:36:07.479000+06:00
buy,0.02,0.02,XAUUSD,4907.916,4898.303,4895.32,4923.136,-0.22,-19.22,user,2026-02-03 20:36:29.705000+06:00,2026-02-03 20:38:28.435000+06:00
buy,0.01,0.01,XAUUSD,4911.643,4916.319,4897.704,,-0.11,4.68,user,2026-02-03 20:39:12.306000+06:00,2026-02-03 20:39:41.548000+06:00
sell,0.01,0.01,XAUUSD,4921.321,4917.446,4926.579,,-0.11,3.87,user,2026-02-03 20:42:07.729000+06:00,2026-02-03 20:43:11.990000+06:00
sell,0.02,0.02,XAUUSD,4914.579,4920.219,4919.298,,-0.22,-11.28,sl,2026-02-03 20:43:49.575000+06:00,2026-02-03 20:43:58.594000+06:00
sell,0.02,0.02,XAUUSD,4917.878,4917.621,4921.212,,-0.22,0.52,user,2026-02-03 20:44:16.338000+06:00,2026-02-03 20:45:22.617000+06:00
sell,0.02,0.02,XAUUSD,4914.655,4917.143,4920.172,4906.787,-0.22,-4.98,user,2026-02-03 20:46:22.328000+06:00,2026-02-03 20:47:27.211000+06:00
sell,0.01,0.01,XAUUSD,4921.941,4927.188,4926.767,4911.898,-0.11,-5.25,sl,2026-02-03 20:52:15.723000+06:00,2026-02-03 20:53:15.078000+06:00
buy,0.01,0.01,XAUUSD,4925.278,4919.081,4919.081,,-0.11,-6.2,sl,2026-02-03 20:56:54.608000+06:00,2026-02-03 20:57:38.983000+06:00
sell,0.01,0.01,XAUUSD,4916.666,4918.905,4924.05,,-0.11,-2.24,user,2026-02-03 20:57:51.050000+06:00,2026-02-03 20:58:32.766000+06:00
buy,0.01,0.01,XAUUSD,4919.531,4931.984,4876.16,,-0.11,12.45,user,2026-02-03 21:00:39.600000+06:00,2026-02-03 21:59:03.816000+06:00
