type,lots,original_position_size,symbol,opening_price,closing_price,stop_loss,take_profit,commission_usd,swap_usd,profit_usd,close_reason,opening_time_bd,closing_time_bd
buy,0.01,0.01,XAUUSD,4590.369,4588.011,4588.328,4593.751,-0.11,0,-2.36,sl,2026-01-13 15:40:03.637,2026-01-13 15:42:10.295
buy,0.01,0.01,XAUUSD,4591.06,4589.879,4589.879,4596.115,-0.11,0,-1.18,sl,2026-01-13 15:44:55.601,2026-01-13 15:45:15.922
buy,0.01,0.01,XAUUSD,4591.153,4589.525,4589.525,4595.765,-0.11,0,-1.62,sl,2026-01-13 15:45:41.643,2026-01-13 15:47:19.918
buy,0.01,0.01,XAUUSD,4588.643,4587.72,4586.919,4592.624,-0.11,0,-0.92,user,2026-01-13 15:48:15.235,2026-01-13 15:48:52.942
buy,0.01,0.01,XAUUSD,4591.508,4598.538,4589.387,4598.538,-0.11,0,7.03,tp,2026-01-13 18:53:58.034,2026-01-13 19:09:42.269
buy,0.01,0.03,XAUUSD,4607.252,4612.401,4590.702,,,0,5.15,user,2026-01-13 19:30:05.430,2026-01-13 19:30:27.866
buy,0.01,0.03,XAUUSD,4607.252,4606.909,4590.702,,,0,-0.34,user,2026-01-13 19:30:05.430,2026-01-13 19:31:30.133
buy,0.01,0.01,XAUUSD,4615.454,4612.662,4612.662,4620.135,-0.11,0,-2.79,sl,2026-01-13 19:54:00.945,2026-01-13 19:54:23.278
buy,0.01,0.03,XAUUSD,4607.252,4611.633,4590.702,,-0.33,0,4.38,user,2026-01-13 19:30:05.430,2026-01-13 19:55:30.574
buy,0.01,0.01,XAUUSD,4615.12,4622.618,4614.591,,-0.11,0,7.5,user,2026-01-13 20:07:56.260,2026-01-13 20:25:03.085
buy,0.01,0.01,XAUUSD,4621.612,4620.605,4620.605,,-0.11,0,-1.0,sl,2026-01-13 20:28:05.797,2026-01-13 20:28:23.455
buy,0.01,0.01,XAUUSD,4627.338,4625.6050000000005,,,-0.11,0,-1.73,user,2026-01-13 21:01:08.282,2026-01-13 21:01:20.081
buy,0.01,0.01,XAUUSD,4619.323,4619.189,,,-0.11,0,-0.13,user,2026-01-13 21:08:09.424,2026-01-13 21:08:13.933
buy,0.01,0.01,XAUUSD,4619.696,4618.85,4618.85,,-0.11,0,-0.85,sl,2026-01-13 21:08:26.576,2026-01-13 21:08:37.929
buy,0.01,0.01,XAUUSD,4617.788,4618.811,4616.031,,-0.11,0,1.02,user,2026-01-13 21:09:12.744,2026-01-13 21:09:25.098
buy,0.01,0.01,XAUUSD,4621.19,4623.128,4618.913,,-0.11,0,1.94,user,2026-01-13 21:11:03.158,2026-01-13 21:11:09.089
buy,0.01,0.01,XAUUSD,4622.581,4621.968,4620.875,,-0.11,0,-0.61,user,2026-01-13 21:12:03.677,2026-01-13 21:12:12.611
