ticket,opening_time_utc,closing_time_utc,type,lots,original_position_size,symbol,opening_price,closing_price,stop_loss,take_profit,commission_usd,swap_usd,profit_usd,equity_usd,margin_level,close_reason
1951874819,2026-01-20T13:31:51.749000,2026-01-20T13:39:59.894000,sell,0.02,0.02,BTCUSD,90837.21,91007.22,91007.22,90467.5,-0.32,0,-3.4,,,sl
1951912884,2026-01-20T13:38:54.161000,2026-01-20T13:39:32.579000,buy,0.1,0.1,XAUUSD,4724.57,4721.400000000001,,4728.721,-1.1,0,-31.7,,,user
1951907458,2026-01-20T13:37:10.840000,2026-01-20T13:37:34.137000,buy,0.1,0.1,XAUUSD,4721.78,4721.771,,4726.632,-1.1,0,-0.09,,,user
1951897650,2026-01-20T13:35:04.601000,2026-01-20T13:36:03.845000,buy,0.02,0.03,XAUUSD,4723.267,4720.908,,4729.607,,0,-4.71,,,user
1951884240,2026-01-20T13:33:58.476000,2026-01-20T13:34:17.372000,sell,0.03,0.03,XAUUSD,4716.759,4722.661,4722.428,4709.529,-0.33,0,-17.7,,,sl
1951850552,2026-01-20T13:24:04.710000,2026-01-20T13:25:22.166000,sell,0.01,0.03,XAUUSD,4720.541,4720.819,4723.395,4716.16,-0.33,0,-0.28,,,user
1951850552,2026-01-20T13:24:04.710000,2026-01-20T13:25:03.597000,sell,0.02,0.03,XAUUSD,4720.541,4720.419,4723.395,4716.16,,0,0.24,,,user
1951834264,2026-01-20T13:21:38.017000,2026-01-20T13:22:10.644000,buy,0.02,0.02,XAUUSD,4721.756,4717.2880000000005,,,-0.22,0,-8.93,,,user
1951799198,2026-01-20T13:09:04.700000,2026-01-20T13:21:57.330000,buy,0.01,0.01,XAUUSD,4723.978,4719.858,4719.858,4753.304,-0.11,0,-4.12,,,sl
1951789159,2026-01-20T13:05:10.388000,2026-01-20T13:06:38.510000,buy,0.01,0.01,XAUUSD,4722.907,4725.657,4719.783,,-0.11,0,2.75,,,user
1951786000,2026-01-20T13:04:25.547000,2026-01-20T13:04:55.617000,buy,0.01,0.01,XAUUSD,4722.954,4724.908,4719.851,,-0.11,0,1.96,,,user
1951780302,2026-01-20T13:03:12.487000,2026-01-20T13:03:29.109000,buy,0.01,0.01,XAUUSD,4725.794,4724.359,,,-0.11,0,-1.43,,,user
1951773899,2026-01-20T13:01:02.456000,2026-01-20T13:03:07.430000,buy,0.01,0.01,XAUUSD,4725.328,4726.698,4723.796,,-0.11,0,1.37,,,user
1951750702,2026-01-20T12:45:11.956000,2026-01-20T12:59:58.628000,buy,0.01,0.02,XAUUSD,4726.218,4727.945,4724.85,,-0.22,0,1.73,,,user
1951750702,2026-01-20T12:45:11.956000,2026-01-20T12:50:08.906000,buy,0.01,0.02,XAUUSD,4726.218,4726.955,4724.85,,,0,0.74,,,user
1951735804,2026-01-20T12:37:53.964000,2026-01-20T12:46:48.103000,buy,0.01,0.01,XAUUSD,4725.768,4727.57,4724.251,4733.456,-0.11,0,1.8,,,user
1951736373,2026-01-20T12:38:26.161000,2026-01-20T12:39:59.914000,buy,0.02,0.02,XAUUSD,4725.016,4725.847,4724.165,,-0.22,0,1.66,,,user
1951714916,2026-01-20T12:28:23.765000,2026-01-20T12:29:49.516000,buy,0.01,0.01,XAUUSD,4727.591,4726.987,,,-0.11,0,-0.6,,,user
1951710785,2026-01-20T12:26:46.282000,2026-01-20T12:27:40.189000,buy,0.01,0.01,XAUUSD,4726.784,4728.232,4725.833,4729.696,-0.11,0,1.45,,,user
1951635886,2026-01-20T11:45:25.899000,2026-01-20T11:49:47.282000,buy,0.01,0.01,XAUUSD,4732.341,4732.22,4731.455,4735.397,-0.11,0,-0.12,,,user
1951627083,2026-01-20T11:41:03.436000,2026-01-20T11:41:50.911000,buy,0.01,0.01,XAUUSD,4730.073,4731.281,4727.929,,-0.11,0,1.21,,,user
1951151085,2026-01-20T08:07:25.560000,2026-01-20T08:07:53.344000,buy,0.01,0.01,XAUUSD,4719.795,4721.312,4718.968,,-0.11,0,1.51,,,user
1951147533,2026-01-20T08:05:23.484000,2026-01-20T08:05:27.956000,buy,0.02,0.02,XAUUSD,4719.151,4719.951,,,-0.22,0,1.6,,,user
1951135849,2026-01-20T08:01:47.582000,2026-01-20T08:04:43.200000,buy,0.01,0.02,XAUUSD,4716.823,4720.595,4715.969,4721.637,-0.22,0,3.78,,,user
1951135849,2026-01-20T08:01:47.582000,2026-01-20T08:02:21.743000,buy,0.01,0.02,XAUUSD,4716.823,4718.986,4715.969,4721.637,,0,2.17,,,user
1951124444,2026-01-20T07:56:42.297000,2026-01-20T07:58:05.503000,buy,0.01,0.01,XAUUSD,4717.519,4715.972,4715.972,4721.49,-0.11,0,-1.55,,,sl
1951114704,2026-01-20T07:51:38.654000,2026-01-20T07:55:40.267000,buy,0.01,0.01,XAUUSD,4718.839,4716.502,4716.045,,-0.11,0,-2.34,,,user
