type,lots,original_position_size,symbol,opening_price,closing_price,stop_loss,take_profit,commission_usd,profit_usd,close_reason,opening_time_bd,closing_time_bd,Images,Say,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,swap_usd,trade_pnl,capital
buy,0.01,0.01,XAUUSD,4432.711,4432.377,4432.377,4435.886,-0.11,-0.33,sl,2026-01-05 15:26:06,2026-01-05 15:30:07,,,,,,,,,,0,-0.44,105.21000000000001
sell,0.01,0.01,XAUUSD,4433.52,4434.7,4434.7,4429.237,-0.11,-1.18,sl,2026-01-05 15:40:57,2026-01-05 15:42:57,,,,,,,,,,0,-1.29,103.92000000000002
buy,0.01,0.01,XAUUSD,4435.385,4434.77,4434.77,4436.546,-0.11,-0.62,sl,2026-01-05 15:47:09,2026-01-05 15:47:38,,,,,,,,,,0,-0.73,103.19000000000001
buy,0.01,0.01,BTCUSD,92534.52,92792.68,92191.4,93139.66,-0.16,2.58,user,2026-01-05 15:36:43,2026-01-05 15:48:22,,,,,,,,,,0,2.42,105.61000000000001
buy,0.01,0.01,XAUUSD,4435.833,4435.025,4435.294,4440.15,-0.11,-0.8,sl,2026-01-05 15:54:16,2026-01-05 15:54:29,,,,,,,,,,0,-0.91,104.70000000000002
buy,0.01,0.01,XAUUSD,4434.2,4433.644,4433.644,4438.494,-0.11,-0.56,sl,2026-01-05 16:02:29,2026-01-05 16:02:34,,,,,,,,,,0,-0.67,104.03000000000002
buy,0.01,0.01,XAUUSD,4432.5,4432.752,4431.069,4434.283,-0.11,0.25,user,2026-01-05 16:08:00,2026-01-05 16:09:23,,,,,,,,,,0,0.14,104.17000000000002
buy,0.01,0.01,XAUUSD,4432.296,4433.458,4431.394,4433.886,-0.11,1.16,user,2026-01-05 16:11:34,2026-01-05 16:13:45,,,,,,,,,,0,1.0499999999999998,105.22000000000001
buy,0.01,0.01,XAUUSD,4431.773,4432.168,4430.889,4433.741,-0.11,0.4,user,2026-01-05 16:19:05,2026-01-05 16:19:39,,,,,,,,,,0,0.29000000000000004,105.51000000000002
buy,0.01,0.01,XAUUSD,4432.672,4436.006,4431.467,4439.193,-0.11,3.34,user,2026-01-05 16:16:06,2026-01-05 16:32:16,,,,,,,,,,0,3.23,108.74000000000001
buy,0.01,0.01,XAUUSD,4437.83,4438.024,4435.966,4442.949,-0.11,0.19,user,2026-01-05 16:55:17,2026-01-05 16:56:30,,,,,,,,,,0,0.08,108.82000000000001
buy,0.01,0.01,XAUUSD,4436.901,4435.888,4435.888,4442.128,-0.11,-1.01,sl,2026-01-05 16:57:38,2026-01-05 16:58:03,,,,,,,,,,0,-1.12,107.70000000000002
buy,0.01,0.01,XAUUSD,4435.891,4434.56,4434.56,4439.521,-0.11,-1.33,sl,2026-01-05 16:58:31,2026-01-05 17:01:40,,,,,,,,,,0,-1.4400000000000002,106.26000000000002
buy,0.01,0.01,XAUUSD,4433.367,4432.564,4433.115,4438.945,-0.11,-0.81,sl,2026-01-05 17:02:48,2026-01-05 17:02:51,,,,,,,,,,0,-0.92,105.34000000000002
